title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Bolivia Manantial Gesha,93,9,8,9,8,9,,60/78,"Richly aromatic, floral-toned. Magnolia, cocoa nib, cane sugar, red plum, nutmeg in aroma and cup. Elegantly sweet structure with delicate, bright acidity; silky, vibrant mouthfeel. Flavor-saturated finish centered around notes of magnolia and cocoa nib, complicated by undertones of nutmeg. ",This washed Boliva Gesha has all the aromatics you’d expect from the variety and is from an under-the-radar origin worth seeking out — a value for its type.,"Caranavi, Bolivia",$30.00/12 ounces,"Produced by Angel Mamani Chambi, entirely of the Geisha (also spelled Gesha) variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",January 2023,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/bolivia-manantial-gesha/
Yellow Pacamara Carbonic Maceration Nanolot,92,8,8,9,8,9,,60/78,"Crisply sweet-savory. White peach, hop flowers, cocoa powder, pineapple kefir, fir in aroma and cup. Sweetly savory structure with brisk acidity; crisp, velvety mouthfeel. The finish consolidates to notes of cocoa powder and fir.",A carbonic-macerated Yellow Pacamara grown in Nicaragua that’s equal parts sweet (stone fruit and cocoa) and savory (hops and aromatic wood).,"Matagalpa growing region, Nicaragua",$160.00/12 ounces,"Produced by Benjamin Weiner at Finca Idealista entirely of the Yellow Pacamara variety of Arabica, and processed by the carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee, still in the whole fruit. Established in Cleveland, Ohio in 2014, Eccentricity Coffee Co. roasts small-batch coffees that highlight each coffee’s full potential. Visit www.eccentricitycoffee.com.",December 2022,Medium-Light,Eccentricity Coffee Co.,"Cleveland, Ohio",https://www.coffeereview.com/review/brix-breaker-yellow-pacamara-carbonic-maceration-nanolot/
Ethiopia Gera Genji Challa,94,9,8,9,9,9,,59/77,"Delicately aromatic, complex. Lilac, cocoa nib, pink grapefruit zest, shishito pepper, apricot in aroma and cup. Sweetly tart with juicy, bright acidity; plush, syrupy-smooth mouthfeel. Floral finish with cocoa undertones.","A nuanced, multilayered washed Ethiopia cup with spicy floral notes at its center and a throughline of cocoa nib.","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$28.00/12 ounces,"Ethiopia coffees like this one are largely produced largely from traditional indigenous landrace varieties of Arabica. Produced by smallholding members of the Nano Challa Cooperative and processed by the traditional washed method (fruit skin and pulp are removed before drying). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",December 2022,Medium-Light,Mostra Coffee,"San Diego, California",https://www.coffeereview.com/review/ethiopia-gera-genji-challa/
Yirgacheffe Mengesha Natural,94,9,8,9,9,9,,60/77,"High-toned, fruit-driven. Boysenberry, pear, cocoa nib, tangerine zest, pink peppercorn in aroma and cup. Sweetly tart structure with juicy-bright acidity; crisp, velvety mouthfeel. The finish consolidates to notes of boysenberry and tangerine zest with undertones of pink peppercorn.",A fruit medley in a cup — think boysenberry and fresh pear — with a crisp cocoa throughline.,"Yirgacheffe growing region, southern Ethiopia",$20.50/12 ounces,"Produced at Mengesha Farm from selections of indigenous landrace varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). With more than 10 years of roasting experience, Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.",November 2022,Medium-Light,Regent Coffee,"Glendale, California",https://www.coffeereview.com/review/yirgacheffe-mengesha-natural/
Tropical Summer Colombia La Sierra,93,9,8,9,8,9,,60/77,"Fruit-driven, crisply chocolaty. Goji berry, dried plum, baking chocolate, amber, narcissus in aroma and cup. Crisply sweet structure with balanced acidity; lightly satiny mouthfeel. Fruit-toned finish supported by notes of baking chocolate.","An experimentally processed Colombia, sweetly fruit-forward with ballast from crisp chocolate notes.","La Sierra, Cauca Department, Colombia",$18.99/8 ounces,"Produced by smallholding farmers from trees of the Castillo, Caturra, Pajarito, Tabi and Bourbon varieties of Arabica, and processed by the traditional washed method using species of lactic acid-producing yeast and bacteria during the fermentation step. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.",November 2022,Medium-Light,Merge Coffee Company,"Harrisonburg, Virginia",https://www.coffeereview.com/review/tropical-summer-colombia-la-sierra/
The Glistening Orchard Blend,91,7,8,9,8,9,,58/77,"Fruity and crisply chocolaty. Green banana, cane sugar, dark chocolate, cedar, cashew in aroma and cup. Sweetly tart with sharp acidity; full, velvety mouthfeel. The finish consolidates to notes of chocolate-toned banana and cashew.
",A uniquely composed blend of two Colombia fruit-fermented washed coffees combined with a traditionally washed Ethiopia — chocolaty and tart-leaning.,Colombia; Ethiopia,NT $459/8 ounces,"A blend of three coffees — a washed coffee fermented with pineapple and another fermented with passionfruit from Colombia and a traditional washed from Ethiopia. Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.",November 2022,Medium-Light,Buon Caffe,"Taipei, Taiwan",https://www.coffeereview.com/review/the-glistening-orchard-blend/
Tinamit Tolimán,93,8,8,9,9,9,,56/74,"Deeply sweet-tart, chocolate-toned. Dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The finish consolidates to dark chocolate with undertones of praline and magnolia.
","A richly chocolaty Guatemala cup with a compelling floral throughline supported by sweet herb notes.
","San Lucas Tolimán, Lake Atitlán growing region, Guatemala",$16.00/12 ounces,"Produced by smallholding farmers of Asociación Tinamit from a field blend of traditional varieties grown in the region, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.

",November 2022,Medium-Light,El Gran Cafe,"Antigua, Guatemala",https://www.coffeereview.com/review/tinamit-toliman/
Colombia La Esperanza 100% Geisha Hanashaku,94,9,8,9,9,9,,65/81,"Delicate, elegant, sweetly bright. Bergamot, cocoa nib, dried mango, freesia, fresh-cut oak in aroma and cup. Sweet-toned structure with sparkling acidity; silky-smooth mouthfeel. Gently citrusy, cocoa-toned finish.
","A pretty Colombia Geisha natural cup with clean fruit and spice-toned floral notes and crisp cocoa undertones.
","Valle de Cauca, Colombia",NT$500/4 ounces,"Produced at Finca Cerro Azul, entirely of the Geisha variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). VERYTIME is a specialty nano-roaster based in Taoyuan, Taiwan. Visit www.verytime.com.tw/ for more information. 

 ",October 2022,Light,VERYTIME,"Taoyuan, Taiwan",https://www.coffeereview.com/review/colombia-la-esperanza-100-geisha-hanashaku/
Colombia El Paraiso Floral Lychee,93,8,8,9,9,9,,64/82,"Floral-toned, richly sweet-savory. Black cherry, dark chocolate, marjoram, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The finish leads with notes of black cherry, rounding to cocoa tones in the long.

","A fruit-driven anaerobic cup complicated by savory, sweetly herbaceous impulses.
","Cauca Department, Colombia",NT$700/8 ounces,"Produced by Diego Bermudez entirely of the Castillo variety of Arabica, and processed by the double-anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Dr.Young Coffee is a Taiwan-based retail specialty coffee roaster with the goal of expressing each coffee’s best flavors. Visit https://lin.ee/HA27cIa for more information.

",October 2022,Light,Dr. Young Cafe,"Taipei, Taiwan",https://www.coffeereview.com/review/colombia-el-paraiso-floral-lychee/
Ethiopia Bekele Heto Natural,93,8,8,9,9,9,,64/82,"Berry-driven, invitingly sweet-tart. Dried mulberry, cocoa nib, pink grapefruit zest, tea rose, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The long, lingering finish consolidates to notes of cocoa-toned mulberry and oak.","Redolent of wild berries growing in an oak forest, this natural Ethiopia is balanced, confidently fruity and crisply cocoa-toned.","Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia",$8.40/4 ounces,"Produced by Bekele Heto from largely indigenous Ethiopian landrace varieties of Arabica long grown in the region and processed by the natural method (dried in the whole fruit). Imported via Royal Coffee’s single-farmer series. Founded by Brad Katz, a music lover and home coffee roaster, Bassline Coffee aims to offer something for every kind of coffee lover with roasts that bring out the inherent qualities of diverse green coffees. Visit www.basslinecoffee.com for more information.",October 2022,Light,Bassline Coffee,"Oakland, California",https://www.coffeereview.com/review/ethiopia-bekele-heto-natural/
